Hour,Total,East,West
0,8.89041095890411,3.580821917808219,5.30958904109589
1,4.693150684931507,1.83013698630137,2.863013698630137
2,2.947802197802198,1.3241758241758241,1.6236263736263736
3,2.0602739726027397,0.9945205479452055,1.0657534246575342
4,5.8712328767123285,2.0602739726027397,3.8109589041095893
5,15.76986301369863,5.838356164383562,9.931506849315069
6,55.04657534246575,23.126027397260273,31.92054794520548
7,127.25205479452055,54.895890410958906,72.35616438356165
8,184.9041095890411,77.7068493150685,107.1972602739726
9,130.1123287671233,51.21917808219178,78.89315068493151
10,96.92602739726027,40.295890410958904,56.63013698630137
11,102.10684931506849,46.06575342465754,56.04109589041096
12,112.95890410958904,52.178082191780824,60.78082191780822
13,117.76164383561644,53.83013698630137,63.93150684931507
14,130.5150684931507,57.18356164383562,73.33150684931506
15,157.13972602739727,67.1917808219178,89.94794520547946
16,208.35342465753425,77.82191780821918,130.53150684931506
17,267.027397260274,86.75068493150685,180.27671232876713
18,184.7123287671233,67.85205479452055,116.86027397260274
19,109.45753424657535,42.726027397260275,66.73150684931507
20,66.4876712328767,27.87945205479452,38.608219178082194
21,47.48219178082192,19.545205479452054,27.936986301369863
22,28.10958904109589,11.013698630136986,17.095890410958905
23,18.454794520547946,7.257534246575342,11.197260273972603
