Month,Total,East,West
1,46.123655913978496,19.245967741935484,26.877688172043012
2,57.404761904761905,23.660714285714285,33.74404761904762
3,75.87483176312247,30.584118438761777,45.2907133243607
4,87.7611111111111,35.52916666666667,52.231944444444444
5,98.78360215053763,40.39247311827957,58.391129032258064
6,118.41527777777777,47.611111111111114,70.80416666666666
7,134.26209677419354,54.848118279569896,79.41397849462365
8,139.96908602150538,55.490591397849464,84.47849462365592
9,126.33888888888889,51.24722222222222,75.09166666666667
10,100.06854838709677,39.73521505376344,60.333333333333336
11,69.29861111111111,27.15972222222222,42.138888888888886
12,36.276881720430104,13.838709677419354,22.438172043010752
